"","Method","Mean","Variance","N","Weight","SNR"
"1","FDR0.01",-0.0131140077381473,0.00175805644064328,2048,"id","-1"
"2","FER0.01",-0.0131140077381473,0.00175805644064328,2048,"id","-1"
"3","FDR0.05",-0.00416315626488032,0.00175877766567442,2048,"id","-1"
"4","FER0.05",-0.00416315626488032,0.00175877766567442,2048,"id","-1"
"5","log_Periodogram",109.685344465932,3.16142344451441,2048,"id","-1"
"6","BIC",-0.00965944531960743,0.00174540049232939,2048,"id","-1"
"7","KSF",-0.0195936066772096,0.00176558283394296,2048,"id","-1"
"8","MRI",-0.0232547535521263,0.00176445650594151,2048,"id","-1"
"9","Rectangle window",0.411460826166135,0.00151329825197117,2048,"id","-1"
"10","Hann",0.447044791929356,0.00228665038764145,2048,"id","-1"
"11","FDR0.01",-0.0220404901763357,0.00358911616364508,1024,"id","-1"
"12","FER0.01",-0.0220404901763357,0.00358911616364508,1024,"id","-1"
"13","FDR0.05",-0.00423252856141738,0.00356930084527349,1024,"id","-1"
"14","FER0.05",-0.00423252856141738,0.00356930084527349,1024,"id","-1"
"15","log_Periodogram",77.3671685524334,3.11530152219275,1024,"id","-1"
"16","BIC",-0.0159453421518082,0.00350581946606002,1024,"id","-1"
"17","KSF",-0.0385609248320687,0.00393982250663277,1024,"id","-1"
"18","MRI",-0.0401499570901608,0.00373232748421759,1024,"id","-1"
"19","Rectangle window",0.427075809174286,0.0030725558484873,1024,"id","-1"
"20","Hann",0.484895360028303,0.00442915128223346,1024,"id","-1"
"21","FDR0.01",-0.0384055601673033,0.00743561609140394,512,"id","-1"
"22","FER0.01",-0.0384055601673033,0.00743561609140394,512,"id","-1"
"23","FDR0.05",-0.00321872787249364,0.00768263820553375,512,"id","-1"
"24","FER0.05",-0.00321872787249364,0.00768263820553375,512,"id","-1"
"25","log_Periodogram",54.3783024838179,3.13284293565233,512,"id","-1"
"26","BIC",-0.0278362602,0.0074124092791552,512,"id","-1"
"27","KSF",-0.0592567590231373,0.00792684286099477,512,"id","-1"
"28","MRI",-0.0643076833700685,0.00754588840047329,512,"id","-1"
"29","Rectangle window",0.450856279118202,0.00613831624275691,512,"id","-1"
"30","Hann",0.537843383084746,0.00860312571633434,512,"id","-1"
"31","FDR0.01",-0.0593562380709081,0.0178164771346624,256,"id","-1"
"32","FER0.01",-0.0593562380709081,0.0178164771346624,256,"id","-1"
"33","FDR0.05",0.0100360431106391,0.0174557926563428,256,"id","-1"
"34","FER0.05",0.0100360431106391,0.0174557926563428,256,"id","-1"
"35","log_Periodogram",38.24212135745,3.21643546297469,256,"id","-1"
"36","BIC",-0.0395206063416569,0.0166669253487452,256,"id","-1"
"37","KSF",-0.0996134717739888,0.020935251656204,256,"id","-1"
"38","MRI",-0.111964663006269,0.0191875910290705,256,"id","-1"
"39","Rectangle window",0.483093414141934,0.0124822547345538,256,"id","-1"
"40","Hann",0.611707588643867,0.0168325217421132,256,"id","-1"
"41","FDR0.01",-0.086073508529494,0.0352743690466482,128,"id","-1"
"42","FER0.01",-0.086073508529494,0.0352743690466482,128,"id","-1"
"43","FDR0.05",0.0462120328857347,0.0370816837277574,128,"id","-1"
"44","FER0.05",0.0462120328857347,0.0370816837277574,128,"id","-1"
"45","log_Periodogram",27.2052520133285,3.14559337589736,128,"id","-1"
"46","BIC",-0.0544798402164256,0.0340139034525619,128,"id","-1"
"47","KSF",-0.140877191656725,0.0372045272155401,128,"id","-1"
"48","MRI",-0.169956094715448,0.0322329791582721,128,"id","-1"
"49","Rectangle window",0.542495721581285,0.0241569071817042,128,"id","-1"
"50","Hann",0.720281433549091,0.0321705800049532,128,"id","-1"
"51","FDR0.01",-0.173498200272235,0.65654893883193,2048,"Martin","-1"
"52","FER0.01",-0.173498200272235,0.65654893883193,2048,"Martin","-1"
"53","FDR0.05",1.14314528779171,1.72253548120839,2048,"Martin","-1"
"54","FER0.05",1.14314528779171,1.72253548120839,2048,"Martin","-1"
"55","log_Periodogram",2523.01554435101,2441.21791358118,2048,"Martin","-1"
"56","BIC",0.245379211670467,0.992498936347362,2048,"Martin","-1"
"57","KSF",-0.51071655289849,0.236968477833827,2048,"Martin","-1"
"58","MRI",-0.65120506278554,0.0360662298869002,2048,"Martin","-1"
"59","Rectangle window",27.2597552972234,0.76114519127492,2048,"Martin","-1"
"60","Hann",23.4193021694851,0.610994994756961,2048,"Martin","-1"
"61","FDR0.01",-0.166186581788061,0.680574788172346,1024,"Martin","-1"
"62","FER0.01",-0.166186581788061,0.680574788172346,1024,"Martin","-1"
"63","FDR0.05",1.19250664921235,1.70634382959561,1024,"Martin","-1"
"64","FER0.05",1.19250664921235,1.70634382959561,1024,"Martin","-1"
"65","log_Periodogram",1268.4538163603,1162.46117685336,1024,"Martin","-1"
"66","BIC",0.216779817319831,0.929404949664046,1024,"Martin","-1"
"67","KSF",-0.550037218368578,0.280104826245596,1024,"Martin","-1"
"68","MRI",-0.694307766199382,0.0556177024179268,1024,"Martin","-1"
"69","Rectangle window",18.9652973251665,0.778831273946035,1024,"Martin","-1"
"70","Hann",16.2406542310237,0.606179559049532,1024,"Martin","-1"
"71","FDR0.01",-0.12345956290528,0.780828223202303,512,"Martin","-1"
"72","FER0.01",-0.12345956290528,0.780828223202303,512,"Martin","-1"
"73","FDR0.05",1.2910209965163,1.78410716849016,512,"Martin","-1"
"74","FER0.05",1.2910209965163,1.78410716849016,512,"Martin","-1"
"75","log_Periodogram",635.857922445786,594.306268513825,512,"Martin","-1"
"76","BIC",0.237109145630142,0.964287023841342,512,"Martin","-1"
"77","KSF",-0.573787249078776,0.340250758601606,512,"Martin","-1"
"78","MRI",-0.717159557714414,0.111010161491914,512,"Martin","-1"
"79","Rectangle window",13.2061865288068,0.782354420937482,512,"Martin","-1"
"80","Hann",11.2138644473582,0.604537854913316,512,"Martin","-1"
"81","FDR0.01",-0.076000399475582,0.968233442596011,256,"Martin","-1"
"82","FER0.01",-0.076000399475582,0.968233442596011,256,"Martin","-1"
"83","FDR0.05",1.41429795236437,1.84816048395822,256,"Martin","-1"
"84","FER0.05",1.41429795236437,1.84816048395822,256,"Martin","-1"
"85","log_Periodogram",321.386017878053,309.065828527669,256,"Martin","-1"
"86","BIC",0.286891668980795,1.06367495963538,256,"Martin","-1"
"87","KSF",-0.487627589724727,0.683448386158088,256,"Martin","-1"
"88","MRI",-0.759144786427033,0.222403438688095,256,"Martin","-1"
"89","Rectangle window",9.14095117876658,0.762501681637448,256,"Martin","-1"
"90","Hann",7.71144498255604,0.571330426382321,256,"Martin","-1"
"91","FDR0.01",0.0420322063293734,1.27804435373094,128,"Martin","-1"
"92","FER0.01",0.0420322063293734,1.27804435373094,128,"Martin","-1"
"93","FDR0.05",1.63088481951871,1.85966876056013,128,"Martin","-1"
"94","FER0.05",1.63088481951871,1.85966876056013,128,"Martin","-1"
"95","log_Periodogram",167.192646441558,163.371880334533,128,"Martin","-1"
"96","BIC",0.379767399984295,1.24043709490324,128,"Martin","-1"
"97","KSF",-0.443351982258802,1.19131129960177,128,"Martin","-1"
"98","MRI",-0.804497724909743,0.436302419217823,128,"Martin","-1"
"99","Rectangle window",6.50526689481505,0.866424335218015,128,"Martin","-1"
"100","Hann",5.52758727657484,0.574945146457832,128,"Martin","-1"
"101","FDR0.01",-0.0155337096851867,0.00176185474323612,2048,"id","-10"
"102","FER0.01",-0.0155337096851867,0.00176185474323612,2048,"id","-10"
"103","FDR0.05",-0.00755208597038813,0.00175385063450332,2048,"id","-10"
"104","FER0.05",-0.00755208597038813,0.00175385063450332,2048,"id","-10"
"105","log_Periodogram",109.212848533184,3.17474741466665,2048,"id","-10"
"106","BIC",-0.0119183461491597,0.00174974867915511,2048,"id","-10"
"107","KSF",-0.0203370455351051,0.00176317273092058,2048,"id","-10"
"108","MRI",-0.025149991878721,0.00176377064952735,2048,"id","-10"
"109","Rectangle window",0.400833245586542,0.00152080154837463,2048,"id","-10"
"110","Hann",0.418966539304718,0.00231108646193758,2048,"id","-10"
"111","FDR0.01",-0.0273285117799704,0.00360159993176309,1024,"id","-10"
"112","FER0.01",-0.0273285117799704,0.00360159993176309,1024,"id","-10"
"113","FDR0.05",-0.0122631424015351,0.00355219906097714,1024,"id","-10"
"114","FER0.05",-0.0122631424015351,0.00355219906097714,1024,"id","-10"
"115","log_Periodogram",76.7563793755567,3.13884704847752,1024,"id","-10"
"116","BIC",-0.0209440388658255,0.00350433585377006,1024,"id","-10"
"117","KSF",-0.039562108545099,0.00391656901148346,1024,"id","-10"
"118","MRI",-0.0437344470731076,0.00373799282088894,1024,"id","-10"
"119","Rectangle window",0.407795008509739,0.00309972263880707,1024,"id","-10"
"120","Hann",0.434789159072279,0.0045057780723507,1024,"id","-10"
"121","FDR0.01",-0.0499525481610087,0.00743180007986093,512,"id","-10"
"122","FER0.01",-0.0499525481610087,0.00743180007986093,512,"id","-10"
"123","FDR0.05",-0.0227206863075885,0.00761168863773863,512,"id","-10"
"124","FER0.05",-0.0227206863075885,0.00761168863773863,512,"id","-10"
"125","log_Periodogram",53.5970649904748,3.16923901590397,512,"id","-10"
"126","BIC",-0.0388368076133471,0.0074100335346621,512,"id","-10"
"127","KSF",-0.064582246338502,0.00790049585386978,512,"id","-10"
"128","MRI",-0.0713601852953347,0.00753753850364201,512,"id","-10"
"129","Rectangle window",0.416299716131029,0.00622566618317609,512,"id","-10"
"130","Hann",0.450725716925335,0.00890586799907732,512,"id","-10"
"131","FDR0.01",-0.0853512287633497,0.0177956865898692,256,"id","-10"
"132","FER0.01",-0.0853512287633497,0.0177956865898692,256,"id","-10"
"133","FDR0.05",-0.0351310352879029,0.0170641452308786,256,"id","-10"
"134","FER0.05",-0.0351310352879029,0.0170641452308786,256,"id","-10"
"135","log_Periodogram",37.2571630180972,3.29162692709179,256,"id","-10"
"136","BIC",-0.0641859094153957,0.0165857369819745,256,"id","-10"
"137","KSF",-0.114742307690909,0.0198780500066571,256,"id","-10"
"138","MRI",-0.12802459920773,0.0192630125831507,256,"id","-10"
"139","Rectangle window",0.422039008025066,0.0128339577645897,256,"id","-10"
"140","Hann",0.464050202282911,0.0180078401923579,256,"id","-10"
"141","FDR0.01",-0.148889471243581,0.0342454399174267,128,"id","-10"
"142","FER0.01",-0.148889471243581,0.0342454399174267,128,"id","-10"
"143","FDR0.05",-0.060399255580519,0.0365056768342524,128,"id","-10"
"144","FER0.05",-0.060399255580519,0.0365056768342524,128,"id","-10"
"145","log_Periodogram",25.9838840321485,3.28400201552097,128,"id","-10"
"146","BIC",-0.114005230399983,0.0342249665638835,128,"id","-10"
"147","KSF",-0.184105262288844,0.0336645649502084,128,"id","-10"
"148","MRI",-0.206167769922579,0.0320256249663468,128,"id","-10"
"149","Rectangle window",0.432216797954762,0.0252621683875827,128,"id","-10"
"150","Hann",0.478770578304006,0.036233400791124,128,"id","-10"
"151","FDR0.01",0.169407345762786,0.535127060604834,2048,"Martin","-10"
"152","FER0.01",0.169407345762786,0.535127060604834,2048,"Martin","-10"
"153","FDR0.05",1.25450942950901,1.49796958671454,2048,"Martin","-10"
"154","FER0.05",1.25450942950901,1.49796958671454,2048,"Martin","-10"
"155","log_Periodogram",2511.78575076623,2451.34394248766,2048,"Martin","-10"
"156","BIC",0.567916121132619,0.887335106826931,2048,"Martin","-10"
"157","KSF",-0.0530552425529504,0.264753997766954,2048,"Martin","-10"
"158","MRI",-0.21492368570787,0.0316666819115621,2048,"Martin","-10"
"159","Rectangle window",27.316067605317,0.764221181493214,2048,"Martin","-10"
"160","Hann",23.3841147161428,0.617400298580771,2048,"Martin","-10"
"161","FDR0.01",0.117224144047488,0.498779310945664,1024,"Martin","-10"
"162","FER0.01",0.117224144047488,0.498779310945664,1024,"Martin","-10"
"163","FDR0.05",1.17171678844054,1.41522374428127,1024,"Martin","-10"
"164","FER0.05",1.17171678844054,1.41522374428127,1024,"Martin","-10"
"165","log_Periodogram",1258.28633706087,1172.00758237433,1024,"Martin","-10"
"166","BIC",0.462080496826009,0.766026664404751,1024,"Martin","-10"
"167","KSF",-0.0670837022940161,0.333946262877011,1024,"Martin","-10"
"168","MRI",-0.27188905085169,0.0338607310751415,1024,"Martin","-10"
"169","Rectangle window",18.9237852072172,0.784343670186073,1024,"Martin","-10"
"170","Hann",16.1018410252067,0.613224235150637,1024,"Martin","-10"
"171","FDR0.01",0.0558142894264499,0.494945489814183,512,"Martin","-10"
"172","FER0.01",0.0558142894264499,0.494945489814183,512,"Martin","-10"
"173","FDR0.05",1.07132217405064,1.3906785388172,512,"Martin","-10"
"174","FER0.05",1.07132217405064,1.3906785388172,512,"Martin","-10"
"175","log_Periodogram",626.717375095398,602.255784495945,512,"Martin","-10"
"176","BIC",0.381961244607302,0.738822941164661,512,"Martin","-10"
"177","KSF",-0.16795272629385,0.300303109952388,512,"Martin","-10"
"178","MRI",-0.320515037711684,0.0659981011011464,512,"Martin","-10"
"179","Rectangle window",13.0502609343048,0.78601851519917,512,"Martin","-10"
"180","Hann",10.9675472257045,0.618623748849969,512,"Martin","-10"
"181","FDR0.01",-0.0140523549209282,0.557456621819342,256,"Martin","-10"
"182","FER0.01",-0.0140523549209282,0.557456621819342,256,"Martin","-10"
"183","FDR0.05",0.961073529225649,1.40119307922782,256,"Martin","-10"
"184","FER0.05",0.961073529225649,1.40119307922782,256,"Martin","-10"
"185","log_Periodogram",313.39077533785,316.425655102395,256,"Martin","-10"
"186","BIC",0.279939472070878,0.7314006544453,256,"Martin","-10"
"187","KSF",-0.151621586746187,0.521655902279769,256,"Martin","-10"
"188","MRI",-0.410696122550034,0.118303705610434,256,"Martin","-10"
"189","Rectangle window",8.87073948675524,0.775211869068947,256,"Martin","-10"
"190","Hann",7.37492942471268,0.593104542431235,256,"Martin","-10"
"191","FDR0.01",-0.094556985205293,0.674978408497373,128,"Martin","-10"
"192","FER0.01",-0.094556985205293,0.674978408497373,128,"Martin","-10"
"193","FDR0.05",0.885274552308065,1.45579458479653,128,"Martin","-10"
"194","FER0.05",0.885274552308065,1.45579458479653,128,"Martin","-10"
"195","log_Periodogram",160.51343216865,170.936512519932,128,"Martin","-10"
"196","BIC",0.189439257430278,0.814709498719942,128,"Martin","-10"
"197","KSF",-0.282509898807297,0.644294436283954,128,"Martin","-10"
"198","MRI",-0.522007916276397,0.198753844616818,128,"Martin","-10"
"199","Rectangle window",6.08049450664535,0.834154708774604,128,"Martin","-10"
"200","Hann",4.95076907228415,0.596137061378755,128,"Martin","-10"
"201","FDR0.01",-0.0208188681158848,0.00176078134357984,2048,"id","-100"
"202","FER0.01",-0.0208188681158848,0.00176078134357984,2048,"id","-100"
"203","FDR0.05",-0.0132382023960004,0.00175620225192635,2048,"id","-100"
"204","FER0.05",-0.0132382023960004,0.00175620225192635,2048,"id","-100"
